#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;
royaume_baviere_desc;"The old Carolingians kings reigning on Germany used to proclaim their heir ""King of Bavaria"", in order to gain support within the bavarian population. It is time to revive this old tradition. We shall be crowned king of Bavaria !";Les anciens carolingiens qui régnaient sur la Germanie nommaient leurs héritiers comme roi de Bavière, afin de s'attacher plus fidélement ces populations récemment intégrées dans l'Empire. Il est désormais temps de faire revivre cette particularité et de se proclamer roi de Bavière;;;;;x;;;;;;;;;;;;;;;
bav_inte;Integrate Bavaria into the kingdom of Germany;Intégrer la Bavière dans le royaume de Germanie;;;;;x;;;;;;;;;;;;;;;
bav_inte_desc;Louis the Pious turned Bavaria into a kingdom, and since then this title used to be given to the heir to the kingdom of Germany, in order to appease these populations recently integrated into the Empire. But bavarian people know recognize themselves as a part of the Kingdom of Germany - it is time to acknowledge this fact and integrate Bavaria into the kingdom of Germany !;Depuis que Louis le Pieux édifia la Bavière en royaume, le titre fut accordé aux héritiers du royaume de Germanie, afin de s'attacher les populations de ces régions récemment conquises. Mais ces derniers temps, les populations locales ont commencés à se reconnaître dans la royauté germanique. Il est peut-être temps d'acter ce fait et d'intégrer la Bavière dans le royaume de Germanie;;;;;x;;;;;;;;;;;;;;;
EVTNAME_RIRNOVEXERC_22;;Le temps du Renouveau;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRNOVEXERC_22;;Bienvenue dans le mod RIRSEI. Il existe plusieurs différences par rapport au jeu de base, et je vous conseille donc de lire attentivement les descriptions des bâtiments et des lois. Chaque culture dispose ainsi de batiments militaires différents. Impôts, levées militaires et domaine royal sont liés à l'autorité. De plus, il est beaucoup plus difficile de monter en autorité et de maintenir une centralisation elevée. Dans l'Orient, la Basileia tôn Rhômaiôn est aux prises de la crise iconoclaste. En Occident, le Pape cherche un souverain catholique assez puissant qui pourra refonder l'Empire Romain d'Occident. Qui deviendra le chef de la chrétienté romaine ? Au nord et à l'est, les Slaves et les Scandinaves connaissent une dynamique économique et démographique, qui annonce leur future expansion. Bonne chance !;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRNOVEXERC_22;;Entendu !;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_242526;Feudal Mutation;Mutation féodale;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_242526;Welcome to the mod RIRSEI !. I inform you that the game in 867 has different mechanisms compared to 1066.The late ninth century was marked by what Georges Duby called "feudal revolution". The royal and imperial authority collapsed, the counts and dukes imposed heredity of their function, and emissaries no longer have any control over them. As to time, even the great vassals will lose power on lords and barons. A new society appears, not based on the authority of the state, but on loyalty between men. To simulate this change in society, it will be impossible to go beyond the average authority, and factions around elective succession and a lower authority will be encouraged. This mutation ends around 1020, when symbolizing the peace of God, the cessation of violence and the breakdown of authority. Good luck !; La fin du IXème siècle est marquée toute entière par ce que Georges Duby a appelé la "révolution féodale". L'autorité royale et impériale s'effondre, les comtes et ducs ont imposé l'hérédité de leur fonction, et les missi dominici n'ont plus aucune emprise sur eux. Au fur et à mesure du temps, même les grands vassaux perdront du pouvoir par rapport aux châtelains et barons. Une nouvelle société apparaît, basée non plus sur l'autorité de l'Etat, mais sur des relations de fidélité d'homme à homme. Pour simuler cette mutation de société, il vous sera impossible de dépasser le stade de l'autorité moyenne, et les factions autour de la succession élective et d'une autorité plus faible seront encouragées. Cette mutation prend fin aux alentours de 1020, date symbolisant la Paix de Dieu, l'arrêt des violences et de la décomposition de l'autorité.;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_242526;I will survive !; Je survivrai à cette tempête !;;;;;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_252627;Build a State; Construire un Etat;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_252627;Welcome to the mod RIRSEI !.Long ago that the imperial or royal public authority, account for little compared to feudal relations that bind lords and vassals. The authority was so decomposed that the potestas, the right to justice, is now in the hands of lesser lord. But the feudal violences stopped a few decades ago thanks to the peace of God and the Christian world is finally beginning to stabilize. If you are an overlord or if you manage to be, you'll have to overcome the power of the great vassals to restore public power around your crown ! In this mod, taxes and the levies are based on the development of the crown authority, as the casus belli de jure (except for de jure ducal claims). But do not forget that the great vassals fiercely oppose any development of a royal or imperial authority. Good luck !;Bienvenue dans le mod RIRSEI. Il y a longtemps que l'autorité publique, impériale ou royale, compte pour peu par rapport aux rapports féodaux qui lient suzerains et vassaux. L'autorité s'est tellement décomposée que la potestas, le droit de justice, est désormais entre les mains du moindre châtelain. Mais les violences féodales ont cessé il y a quelques dizaines d'années grâce aux paix de Dieu et le monde chrétien commence enfin à se stabiliser. Si vous êtes un suzerain ou que vous parvenez à l'être, il vous faudra toutefois vaincre le pouvoir des grands vassaux afin de restaurer la puissance publique autour de votre couronne ! Dans ce mod, les impôts et la levée militaire sont en relations avec le developpement de l'autorité de la couronne, tout comme les casus belli de jure (non ducaux). Mais n'oubliez pas que les grands vassaux s'opposeront farouchement à tout développement d'une autorité royale ou impériale. Bonne chance !;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_252627;I will break the great vassals and I rule over a modern state!;Je briserai les grands vassaux et je régnerai sur un Etat moderne !;;;;;;;;;x;;;;;;;;;;;
BM_FIN_MUT;Period 867-1066 unlocked;Période 867-1066 débloquée;;;;;;;x;;;;;;;;;;;;;
BM_FIN_MUT_DESC;To embody Knut the Great and Hugh Capet, it's here. Use the sliders to adjust the years!;Pour incarner Knut le Grand ou Hugues Capet c'est ici. Utilisez les barres pour régler les années !;;;;;;;x;;;;;;;;;;;;;
duero_depeup_1;Unpopulated Region;Région du Duero dépeuplée;;;;;x;;;; ;;;;;;;;;;;
duero_depeup_1_desc;It is said that the legendary king Pelayo forced the Christian populations of the Duero to retreat in Asturias. These tips mixed with tough Muslim raids make that this area is uninhabited, making it efficient and easy to defend well fortified places around glaze, but this area is uneconomical;Il est dit que le mythique roi Pelayo contraignait les populations chrétiennes du Duero à se replier en Asturies. Ces conseils mêlés aux durs raids musulmans font que cette région est dépeuplée, ce qui en fait un glacis efficace et facile à défendre autour de lieux bien fortifiées, mais cette région est bien peu rentable économiquement;;;;;x;;;; ;;;;;;;;;;;
duero_depeup_2;Repopulated Region;Région du Duero repeuplée;;;;;x;;;; ;;;;;;;;;;;
duero_depeup_2_desc;This Duero region was repopulated. If we have lost a protective gaze, this region regained its economic vitality;Cette région du Duero a été repeuplée. Si nous avons perdu un glacis protecteur, cette région a retrouvée sa vitalité économique;;;;;x;;;; ;;;;;;;;;;;
duero_depeupct_1;Unpopulated Region;Région du Duero dépeuplée;;;;;x;;;; ;;;;;;;;;;;
duero_depeupct_1_desc;It is said that the legendary king Pelayo forced the Christian populations of the Duero to retreat in Asturias. These tips mixed with tough Muslim raids make that this area is uninhabited, making it efficient and easy to defend well fortified places around glaze, but this area is uneconomical;Il est dit que le mythique roi Pelayo contraignait les populations chrétiennes du Duero à se replier en Asturies. Ces conseils mêlés aux durs raids musulmans font que cette région est dépeuplée, ce qui en fait un glacis efficace et facile à défendre autour de lieux bien fortifiées, mais cette région est bien peu rentable économiquement;;;;;x;;;; ;;;;;;;;;;;
duero_depeupct_2;Repopulated Region;Région du Duero repeuplée;;;;;x;;;; ;;;;;;;;;;;
duero_depeupct_2_desc;This Duero region was repopulated. If we have lost a protective gaze, this region regained its economic vitality;Cette région du Duero a été repeuplée. Si nous avons perdu un glacis protecteur, cette région a retrouvée sa vitalité économique;;;;;x;;;; ;;;;;;;;;;;
relique_charles;Controls the insigna of Carolus Magnus;Contrôle les insignes de Charlemagne;;;;;;;x;;;;;;;;;;;;;
relique_charles_desc;This monarch controls the insigna of Carolus Magnus. Being Carolingian or not, this give him prestige and legitimacy towards his vassals.;Ce monarque contrôle les insignes et les reliques de Charlemagne. Qu'il soit carolingien ou non, il en tire prestige et légitimité auprès de ses vassaux;;;;;;;x;;;;;;;;;;;;;
reliquecharles;The insigna of Carolus Magnus;Les insignes de Charlemagne;;;;;;;x;;;;;;;;;;;;;
reliquecharles_desc;We control Aachen and the tombstone of Carolus Magnus, with the imperials symbols. Regardless of our dynasty, this gives us prestige and legitimacy.;Nous contrôlons Aix-la-Chapelle et le tombeau de Charlemagne, avec ses insignes impériales. Que nous soyons pépinide ou non, nous en tirons prestige et légitimité;;;;;;;x;;;;;;;;;;;;;
reliquecharlesfr;The insigna of Carolus Magnus;Les insignes de Charlemagne;;;;;;;x;;;;;;;;;;;;;
reliquecharlesfr_desc;We control Paris, where the imperials symbols and the relics of Carolus Magnus are retained. Being Carolingian or not does not matter - this gives us prestige and legitimacy.;Nous contrôlons Paris, là ou nous avons entreposé les insignes impériales et les reliques de Charlemagne. Que nous soyons pépinide ou non, nous en tirons prestige et légitimité;;;;;;;x;;;;;;;;;;;;;
EVTNAME_RIRSEI_262728;The insigna of Carolus Magnus;Les insignes de Charlemagne;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_262728;We control the insigna of Carolus Magnus. This gives us prestige and legitimacy, regardless of our dynasty.; Nous contrôlons les reliques de Charlemagne et ses insignes impériales. Que nous soyons pépinide ou non, nous en tirons prestige et légitimité;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_262728;Carolus Magnus protects us !; Charlemagne nous protège !;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_272829;The insigna of Carolus Magnus;Les insignes de Charlemagne;;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_272829;We lost control of Aachen or Paris, and as a consequence we lost the benefits of it.; Puisque nous avons perdu le contrôle d'Aix-la-Chapelle ou de Paris, il est normal que nous perdons aussi les bénéfices;;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_272829;Carolus Magnus no longer protects us !; Charlemagne ne nous protège plus !;;;;;;;;;;x;;;;;;;;;;
CB_NAME_RELIQUE_RULER;Seize the insigna of Carolus Magnus;S'emparer des insignes carolingiennes;;;;;;;;x;;;;;;;;;;;;
WAR_NAME_RELIQUE_RULER;$ORDER$ War for the control of the Carolingians insigna $FIRST_ADJ$-$SECOND_ADJ$;$ORDER$ Guerre de récupération des insignes carolingiennes $FIRST_ADJ$-$SECOND_ADJ$;;;;;;;;;x;;;; ;;;;;;;
CB_NAME_GUISCARD;Invasion of Romania;Invasion de la Romanie;;;;;;;;x;;;;;;;;;;;;
WAR_NAME_GUISCARD;$ORDER$ Invasion War $FIRST_ADJ$-$SECOND_ADJ$;$ORDER$ Guerre d'invasion $FIRST_ADJ$-$SECOND_ADJ$;;;;;;;;;x;;;;;;;;;;;
conquete_byz_sicile;Invade Romania;Envahir la Romanie;;;;;;;x;;;;;;;;;;;;;
conquete_byz_sicile_desc;§Y$TARGET$§! has the Eastern Empire but he is a schismatic Christian. Since we're land to Empire of the East, we must reverse the Basileus;§Y$TARGET$§! possède l'Empire d'Orient alors qu'il est un chrétien schismatique. Etant donné que nous sommes terre d'Empire d'Orient, nous devons renverser le Basileus;;;;;;;;;x;;;;;;;;;;;
pape_hongrie_desc;We have converted to catholicism, and recognized the Holy Father as the spritual guide of the christian world. But we refuse to bow in front of the Roman Emperor ! To avoid vassalisation by the Empire, it is necessary that the Pope grants us a royal crown, the crown of Hungary !;Nous nous sommes convertis au catholicisme, et nous avons reconnu le Saint-Père comme le seigneur spirituel du monde chrétien. Mais nous refusons de plier genou devant l'Empereur des Romains. Pour écarter tout danger d'une vassalisation, il faut absolument que le Pontifex Maximus nous accorde de ses mains une couronne royale, la couronne de la Hongrie !;;;;;;;;;;;x;;;;;;;;;
pape_hongrie;Ask the Pope for a royal crown;Demander une couronne royale au Pape;;;;;;;;;;;x;;;;;;;;;
reclamer_hongrie_desc;The Magyars, these nomads barbarians, settled into the Danubian basin and convert to catholicism. Since we are the temporal head of the christian world, it is time to ask these hungarians to become our vassals. For their greater good and christianity, of course.;Les Magyars, ces nomades barbares, se sont installés dans le bassin du Danube et se sont convertis au christianisme. Etant donné que nous sommes la tête temporelle du monde chrétien, il est temps de demander à ces hongrois de devenir nos vassaux. Pour leur bien et celui de la chrétienté, bien entendu;;;;;;;;;;;x;;; ;;;;;;
reclamer_hongrie;Ask for the vassalisation of the Magyars;Demander la vassalisation des Magyars;;;;;;;;;;;x;;;;;;;;;
EVTNAME62910;A New Kingdom;Un nouveau royaume !;Ein Neues Königreich;;Un nuevo Reino;;;;;;;;;x;;;;;;;;
EVTDESC62910;The Magyars tribes travelled a lot, fighting nomads, farmers and town people without distinction but with cruelty. The wealthy lands of the Carpathian basin should offer us peace and ease. We have created, under Christ's protection, a kingdom recognized by others christians monarchs !;Les tribus magyares ont beaucoup voyagé et ont combattu les nomades, les fermiers et les citadins indistinctement et avec cruauté. Les plaines fertiles du bassin des Carpates devraient nous offrir paix et réconfort. Nous avons fondé un royaume sous la protection du Christ qui est désormais reconnu par les autres seigneurs chrétiens !;;;;;;;;;x;;;;;;;;;;;
EVTOPTA62910;We will run no more!;Nous ne fuirons plus !;Wir werden nicht länger davonlaufen!;;¡No correremos más!;;;;;;;;;x;;;;;;;;
EVTNAME62911;Magyar Nomads no More;Fini les nomades magyars;Nie mehr Magyar-Nomaden;;Nómadas Magiares nunca Más;;;;;;;;;x;;;;;;;;
EVTDESC62911;[From.GetFirstName], king of the Magyars, converted to christianity and gained a royal crown from either the Pope or the Roman Basileus. He becomes the first king of a new kingdom, the kingdom of Hungary.;[From.GetFirstName], le roi des Magyars, a décidé de se convertir au christianisme, et il a obtenu une couronne royale, des mains du Saint-Père ou bien du Basileus des Romains. Il a fondé le nouveau royaume de Hongrie;Der König der Magyaren, [From.GetFirstName], hat beschlossen, im Karpatenbecken zu siedeln und dort eine neue Heimat für die Magyar-Stämme zu errichten.;;El Rey de los Magiares, [From.GetFirstName], ha decidido instalarse en la cuenca de los Cárpatos, convirtiéndose en el nuevo hogar de las tribus magiares.;;;;;;;;;x;;;;;;;;
